url,arquivo,bytes,variante,status
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/3587ddcb-c797-43eb-8864-6219cbd504ed/Untitled_1.10.1.jpg,069_Untitled_1.10.1.jpg,752903,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/35c4de93-8210-4f51-896c-57628465ee93/Still+2025-06-18+180516_1.6.2.PRE.jpg,070_Still 2025-06-18 180516_1.6.2.PRE.jpg,555291,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/36054b42-1fe8-4d07-b1b1-a828ca0cb79f/Untitled_1.52.2.jpg,071_Untitled_1.52.2.jpg,423519,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/378581ad-db76-446c-a3bd-ec3da38eef97/Still+2025-06-18+180516_1.11.2.PRE.jpg,072_Still 2025-06-18 180516_1.11.2.PRE.jpg,436159,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/37fe21c2-86df-4220-a019-0f24890a6001/deisy.jpg,073_deisy.jpg,87572,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/382b7331-a2e1-479b-91ec-4689f432163c/Still+2025-06-18+180516_1.35.2.PRE.jpg,074_Still 2025-06-18 180516_1.35.2.PRE.jpg,432819,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/3936d21f-80c4-44f4-bf28-d3753ce7fe5b/COLOR+CONCEPT+37.jpg,075_COLOR CONCEPT 37.jpg,193861,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/3936d21f-80c4-44f4-bf28-d3753ce7fe5b/COLOR+CONCEPT+37.jpg"",",076_COLOR CONCEPT 37.jpg__,193861,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/3956c247-67b9-4882-9bca-3ae373fd32b4/NIKE.PNG,077_NIKE.PNG,23282,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/3c1fca9b-f6b4-4ce9-944e-f39b2f9cf807/XAMA+07+CLIP+2.PNG,078_XAMA 07 CLIP 2.PNG,2173655,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/3c1fca9b-f6b4-4ce9-944e-f39b2f9cf807/XAMA+07+CLIP+2.PNG"",",079_XAMA 07 CLIP 2.PNG__,2173655,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/3da15b07-138e-4f5a-8c49-9ce06656d654/Untitled_1.11.1.T.jpg,080_Untitled_1.11.1.T.jpg,531958,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/3febeaf9-ba10-4d39-a12c-a826bd9847cc/1.8.1_1.8.1-min.png,081_1.8.1_1.8.1-min.png,5467527,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/4102647f-702f-424d-8218-ad02098aaa97/GUSTAVO+LIMA+E+FELIPE+05.PNG,082_GUSTAVO LIMA E FELIPE 05.PNG,3139756,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/4102647f-702f-424d-8218-ad02098aaa97/GUSTAVO+LIMA+E+FELIPE+05.PNG"",",083_GUSTAVO LIMA E FELIPE 05.PNG__,3139756,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/42cd3a88-07fa-4cb6-8ff0-ffc48acf5454/Untitled_1.39.1.jpg,084_Untitled_1.39.1.jpg,852946,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/46447943-0f14-444f-a22c-bb7beaae044f/Untitled_1.4.1.jpg,085_Untitled_1.4.1.jpg,588282,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/49c28543-e988-401c-bddf-1adc64115a28/Untitled_1.2.2.POST.jpg,086_Untitled_1.2.2.POST.jpg,119058,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/4a2a6308-5b67-40ad-b199-d96a20128b68/CLEO02.png,087_CLEO02.png,2937523,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/4b5a76ba-f7fb-47aa-9401-11fdea960dcb/R5RF0595.jpg,088_R5RF0595.jpg,389646,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/4b5a76ba-f7fb-47aa-9401-11fdea960dcb/R5RF0595.jpg"",",089_R5RF0595.jpg__,389646,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/4cee1dc5-96e0-4966-8df7-c2af767647c0/Still+2025-06-18+180516_1.1.1.jpg,090_Still 2025-06-18 180516_1.1.1.jpg,492183,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/4d4cb9b2-218d-43ac-b59e-115dd6bbdb07/GER06435-Editar.jpg,091_GER06435-Editar.jpg,431954,format=original,ok
